input_text,outcome
"IPC Sections 354, 448 and Section 3(1)(xi) of the Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act, 1989.  Vidyadharan was convicted for outraging a woman's modesty and house trespass. The Supreme Court held that the Sessions Judge lacked jurisdiction to try the offense under Section 3(1)(xi) due to procedural violations under the Code of Criminal Procedure, 1973. The convictions under Sections 354 and 448 were upheld, but the conviction under Section 3(1)(xi) was set aside.","The appeal was partially allowed. The conviction under Section 3(1)(xi) of the Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act, 1989 was set aside due to lack of jurisdiction.  Convictions under IPC Sections 354 and 448 were upheld, but the sentence was reduced to time already served. 

Case law references supporting the outcome are not explicitly cited in the provided text, but considering the judgment, relevant case laws would likely include those dealing with:
1. Jurisdiction of Special Courts under the Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act, 1989.
2.  Interpretation of Section 193 of the Code of Criminal Procedure, 1973 (regarding cognizance of offences by Courts of Session).
3.  Principles of criminal procedure concerning the legality of trials and convictions."
"IPC Sections 302, 302 with 34, 302 with 120B, and 302 with 114 were involved.  Three appellants were convicted for murder (302 with 120B), with one additionally convicted under 302 with 34. The case involved a death caused by a vehicle; the prosecution relied on eyewitness testimony, which was challenged due to discrepancies and the passage of time.  The court considered whether the initial information constituted an FIR, and the evidence of conspiracy.","Judgment against petitioner (Damodar) and two other appellants initially;  However, the Supreme Court overturned the conviction of Damodar and one other appellant under Section 302 with Section 120B.  The conviction of the third appellant under Section 302 was upheld. 
Case law references supporting the outcome (although not explicitly cited in this manner within the text, these principles were applied):
1. *Ramsinh Bavaji Jadeja v. State of Gujarat*, [1994] 2 SCC 685 (Regarding FIR and telephonic information)
2. *E.K. Chandrasenan v. State of Kerala*, AIR (1995) SC 1066 (Regarding proving conspiracy)
3. *Kehar Singh and Ors. v. The State (Delhi Administration)*, AIR 1988 SC 1883 (Regarding proving conspiracy)"
"IPC Sections 147, 302, 323 were initially charged.  The appellant was found guilty of 147 and 302, later reduced to 304 Part II on appeal. The case involved a clash where the appellant and others assaulted the deceased and others. The High Court upheld the conviction, reducing the charge from 302 to 304 Part II due to evidence presented.","Judgment against petitioner (conviction under Section 304 Part II IPC).  
Case law supporting this outcome:
1. *Lakshmi Singh v. State of Bihar* (AIR 1976 SC 2263): Addresses the significance of injuries on the accused and the burden of proof in self-defense claims.
2. *Mohar Rai and Bharath Rai v. The State of Bihar* (1968 (3) SCR 525): Discusses the implications of the prosecution's failure to explain injuries sustained by the accused.
3. *Jai Dev. v. State of Punjab* (AIR 1963 SC 612):  Concerns the limits of the right of private defence and when it ceases to be applicable."
"IPC Sections 302 and 324.  Augustine Saldanha was initially convicted under Section 302 IPC (murder) and sentenced to life imprisonment, while Rocky Saldanha was convicted under Section 324 IPC (causing hurt by dangerous weapons) and sentenced to one year imprisonment. The Supreme Court altered Augustine's conviction to Section 304 Part II (culpable homicide not amounting to murder), reducing his sentence to eight years.  The High Court's judgment upholding the convictions was affirmed by the Supreme Court.","Judgment against petitioner (partially for Augustine Saldanha).  His conviction was altered from Section 302 to Section 304 Part II. 
Case law references supporting the outcome are not explicitly cited in the provided text.  To provide 3 supporting references, further legal research would be needed focusing on cases dealing with the distinctions between Sections 302, 304 Part II of the IPC, and the assessment of intent in culpable homicide cases.  General principles supporting the court's decision can be found in several cases focusing on the interpretation of these sections, but specific citation requires further research."
"Sections 302 and 201 IPC.  Sushil Murmu appealed a death sentence for the ritualistic murder of a 9-year-old child. The court considered the brutal nature of the crime and the accused's lack of remorse, concluding it was a 'rarest of rare' case warranting the death penalty.","Bail was not granted; judgment against petitioner. 
Case laws supporting this outcome:
1. *Bachan Singh v. State of Punjab* (1980 (2) SCC 684): Establishes the 'rarest of rare' doctrine for death penalty.
2. *Machhi Singh v. State of Punjab* (1983 (3) SCC 470): Provides guidelines for determining 'rarest of rare' cases.
3. *Ediga Anamma v. State of A.P.* (1974 (4) SCC 443): Outlines factors considered in death penalty decisions."
"IPC Section 302 read with Section 34.  Surendra Paswan was accused of murder (Section 302 IPC) following the death of Barhan Das.  The trial court convicted Paswan, upheld by the Jharkhand High Court.  Paswan appealed to the Supreme Court, arguing inconsistencies in the investigation (lack of ballistic examination, unexplained injuries on the accused). The Supreme Court considered the evidence of eyewitnesses and the arguments regarding unexplained injuries, ultimately upholding the conviction.","{'bail_granted': 'Not granted', 'judgment': 'Against petitioner', 'case_laws': ['Mohar Rai and Bharath Rai v. The State of Bihar (1968 (3) SCR 525)', 'Lakshmi Singh and Ors. v. State of Bihar (1976 (4) SCC 394)', 'Vijayee Singh and Ors. v. State of U.P. (AIR 1990 SC 1459)']}"
"Sections 7 and 13(1)(d) of the Prevention of Corruption Act, 1988, and Section 433(c) of the Code of Criminal Procedure, 1973.  The High Court commuted the respondent's prison sentence to a fine, but the Supreme Court ruled this was beyond the High Court's power; commutation is the exclusive domain of the executive.","{'decision': ""Judgment against petitioner (High Court's order set aside)"", 'case_laws': ['Delhi Administration (Now NCT of Delhi) vs. Madan Lal (2002 (6) Supreme 77)', 'State of Punjab v. Kesar Singh (1996 (5) SCC 495)', 'Not available']}"
"IPC Sections 354, 448, and Section 3(1)(xi) of the Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act, 1989.  The case involved allegations of outrage of modesty, house trespass, and violation of the Atrocities Act. The Supreme Court of India upheld the conviction under Sections 354 and 448 but quashed the conviction under Section 3(1)(xi) due to procedural irregularities in the trial.","Judgment partly in favor and partly against the petitioner. The conviction under sections 354 and 448 of IPC was upheld, but the conviction under section 3(1)(xi) of the Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act, 1989 was quashed.  Case law references supporting the quashing of the conviction under Section 3(1)(xi) due to procedural irregularities are unavailable in the provided text.  However, case law supporting the principles of conviction under Sections 354 and 448 could include:

1. State of Punjab v. Major Singh (AIR 1967 SC 63) – Regarding the definition and elements of Section 354 IPC
2. A.R. Antulay v. Ramdas Sriniwas Nayak (1984 (2) SCC 500) – Regarding the application of the Code of Criminal Procedure
3. Directorate of Enforcement v. Deepak Mahajan (1994 (3) SCC 440) – Regarding the interpretation of Section 5 of the Code of Criminal Procedure."
"IPC Sections 304 Part II, 325, and 447.  The Supreme Court of India upheld the Gujarat High Court's judgment overturning an acquittal. The appellant was convicted for these offenses related to an assault resulting in death.  The High Court found the trial court's approach erroneous, emphasizing reliable eyewitness testimony despite some inconsistencies with medical evidence.","Bail not granted; judgment against petitioner.  Supporting case laws are not explicitly mentioned in the provided text, but the judgment heavily relies on principles of evidence evaluation and the precedence set by cases like *Gurmej Singh and Ors. v. State of Punjab*, *Hallu and Ors. v. State of Madhya Pradesh*, and *Balaka Singh and Ors. v. The State of Punjab*.  Further research is needed to identify three specific cases supporting this outcome beyond those mentioned or implied within the text."
"Sections 8, 20(B)(1) of the Narcotic Drugs and Psychotropic Substances Act, 1985.  Appellants were convicted for possessing 40 kg of Ganja.  The High Court upheld the conviction and sentence.  Appellants argued violations of Sections 42 and 50 of the Act, claiming improper search and seizure procedures. The court found no merit in these arguments, citing established case law on the interpretation of these sections.","{'bail_granted': False, 'judgment': 'against petitioner', 'case_law_references': ['State of Punjab v. Baldev Singh (1999 (6) SCC 172)', 'State of Punjab v. Balbir Singh (1994 (3) SCC 299)', 'Kalema Tumba v. State of Maharashtra and Anr. (JT 1999 (8) SC 293)']}"
"IPC Sections 148, 302, 307, 323, all read with 149.  Three appellants were convicted for murder (Section 302) and related offenses.  The Supreme Court upheld the High Court's decision, finding the prosecution's eyewitness testimony credible despite some inconsistencies and challenges to its timing and details.  The appellants' appeal was dismissed.","Bail not granted; judgment against petitioner. 
Supporting Case Laws:
1. Solanki Chimanbhai Ukabhai v. State of Gujarat (AIR 1983 SC 484)
2. State of U.P. v. Krishna Gopal and Anr. (AIR 1988 SC 2154)
3.  Not available (A third case is not explicitly mentioned but the judgment relies on established principles of evidence evaluation in criminal cases.)"
"IPC Section 302:  The case involves two appeals concerning the Governor's clemency powers (Article 161 of the Constitution) to grant remission to prisoners convicted outside Andhra Pradesh but serving sentences within the state. The Andhra Pradesh High Court ruled the Governor could grant remission, but the Supreme Court reversed this decision, holding that the appropriate government for remission is the state where the conviction occurred, not where the sentence is served.  This decision references Section 432 of the Code of Criminal Procedure, 1973, and the principles of Article 14 (equality) and Article 161 of the Constitution.","Judgment against petitioner. The Supreme Court reversed the High Court's decision, finding the Andhra Pradesh Governor lacked the authority to grant remission.  

Case law references supporting this outcome:
1. *State of Madhya Pradesh v. Ratan Singh and Ors.* (1976 (3) SCC 470)
2. *State of Punjab and Ors. v. Joginder Singh and Ors.* (AIR 1990 SC 1396)
3. *Maru Ram v. Union of India* (1981 (1) SCR 1196)"
"IPC Sections 302, 34, and 440.  The case involved a fatal shooting stemming from a property dispute.  The High Court acquitted all accused, finding the prosecution's case unreliable due to inconsistencies in witness testimonies and the FIR. The Supreme Court reversed the High Court's judgment, restoring the trial court's conviction of Madan Rai under Section 302 IPC for murder and the conviction of three others under Section 440 IPC for mischief.","Judgment in favor of petitioner (Ramakant Rai).  The Supreme Court reversed the High Court's acquittal and restored the trial court's conviction. 
Case law references supporting this outcome are not explicitly cited in this case text, but would likely include cases emphasizing:
1. The importance of eyewitness testimony when credible.
2. The standard of proof beyond a reasonable doubt in criminal cases.
3. The Supreme Court's power under Article 136 of the Constitution to review High Court judgments."
"IPC Sections 363 and 366.  A five-year-old girl was kidnapped and subjected to attempted rape. The accused was convicted under Sections 363 and 366 IPC for kidnapping, while the attempted rape charge was dropped. The Supreme Court upheld the conviction based on the grandmother's eyewitness testimony, rejecting the accused's claims of false implication and improving the case at different stages.","{'bail_granted': 'Not applicable', 'judgment': 'Judgment against petitioner (conviction upheld for Sections 363 and 366 IPC)', 'case_law_references': ['State of Haryana v. Raja Ram (1973 (1) SCC 544)', 'Thakorlal D. Vadgdama v. The State of Gujarat (AIR 1973 SC 2313)', 'Reg v. Job Timmins (169 English Reports 1260)']}"
"The appellants were convicted under IPC sections 364A, 121A, 122, 124A, read with 120B, and sections 3 & 4 of the TADA Act, and Section 14 of the Foreigners Act.  The case involved a terrorist conspiracy to kidnap foreign nationals, orchestrated by Umar Sheikh, who escaped prosecution.  The appellants' roles varied, ranging from participation in the kidnapping to harboring terrorists.  The court considered the voluntariness of confessional statements and the nature of the conspiracy.","Bail was not granted; judgment was against the petitioner (death sentence commuted to life imprisonment).  
Case law supporting this outcome is not explicitly cited in the provided text, but based on the judgment, relevant case law would likely include cases dealing with:
1.  Admissibility of confessions under TADA Act.
2.  Conspiracy charges and the standard of proof.
3.  Sentencing in terrorism cases and proportionality of punishment."
"IPC Sections 302, 34, and 201.  Three appellants were convicted of murder (Section 302 read with Section 34 IPC) and destruction of evidence (Section 201 IPC) for the death of Surjit Singh in 1986. The High Court upheld their conviction, rejecting appeals arguing for insufficient evidence and the acquittal of co-accused.","Bail was not granted; judgment was against the petitioner. 

Case law references supporting the outcome:
1.  Dalip Singh and Ors. v. The State of Punjab (AIR 1953 SC 364)
2. Guli Chand and Ors. v. State of Rajasthan (1974 (3) SCC 698)
3. Masalti and Ors. v. State of U.P. (AIR 1965 SC 202)"
"IPC Sections 302, 34, and 323.  Four appellants were convicted for murder (Section 302/34 IPC) and two additionally for causing hurt (Section 323 IPC). The deceased, having an illicit relationship, was murdered by the appellants who had previously threatened her.  The Supreme Court upheld the High Court's judgment, finding the eyewitness testimony credible and rejecting the appellants' alibi pleas.","Bail was not granted; judgment against the petitioner.  Supporting case laws are not explicitly cited in the provided text, therefore, Not available."
"Sections 9A/25A and 9A/25A read with Section 29 of the Narcotic Drugs and Psychotropic Substances Act, 1985.  Kuldeep Singh was convicted for possessing 880 liters of Acitic N Hydrite, a precursor to heroin. The High Court reduced his sentence, but the Supreme Court reversed this, restoring the original sentence due to the gravity of the offense and the potential harm caused by the large quantity of contraband.",Bail was not granted; judgment against petitioner.  The Supreme Court's decision to uphold the original sentence is supported by the principles of proportionality in sentencing and the need for deterrence in drug trafficking cases.  Case law references supporting this outcome are not explicitly mentioned in the provided text.  Further legal research is needed to find 3 relevant case laws.
"Sections 302, 307, and 34 of the Indian Penal Code, 1860 were invoked.  The case involved the appeal of the State of Punjab against the acquittal of Karnail Singh and Nirmal Singh for murder (Section 302 IPC) and attempted murder (Section 307 IPC). The High Court acquitted them due to perceived procedural irregularities, but the Supreme Court found the High Court's reasoning flawed, highlighting the credible prosecution evidence and the need to prevent miscarriage of justice.","Bail was not granted; judgment was against the petitioner (High Court judgment overturned).  Case law supporting the Supreme Court's reversal of acquittal includes:

1. *Bhagwan Singh and Ors. v. State of Madhya Pradesh* (JT 2002 (3) SC 387) -  Addresses appellate court review of acquittal evidence.
2. *Shivaji Sahabrao Bobade and Anr. v. State of Maharashtra* (1973 (2) SCC 193) -  Highlights principles for appellate interference in acquittal cases.
3. *Ramesh Babulal Doshi v. State of Gujarat* (1996 (9) SCC 225) -  Further clarifies the grounds for appellate interference in acquittal cases."
"IPC Section 302 (murder) and Section 27 of the Indian Arms Act, 1959.  The Rajasthan High Court acquitted Raja Ram, accused of murdering five people, due to insufficient evidence. The High Court found the prosecution's circumstantial evidence, including extra-judicial confessions, unreliable. The Supreme Court dismissed the State's appeal, upholding the acquittal.","{'bail_granted': False, 'judgment': 'Judgment in favor of petitioner (Raja Ram)', 'case_laws': ['Bhagwan Singh and Ors. v. State of Madhya Pradesh (JT 2002 (3) SC 387)', 'Shivaji Sahabrao Bobade and Anr. v. State of Maharashtra (1973 (3) SCC 193)', 'Ramesh Babulal Doshi v. State of Gujarat (1996 (9) SCC 225)']}"
"IPC sections not mentioned.  This case involved a dispute over a license agreement for commercial premises. The defendant (appellant) argued the agreement was a sham, while the plaintiff (respondent) claimed unpaid commissions and unlawful occupation.  The High Court upheld the trial court's decision, finding the agreement valid and the defendant liable for unpaid commissions and damages for unlawful occupation.","Judgment in favor of the petitioner (respondent). 
Case law supporting this outcome:
1. *Waman Shriniwas Kini v. Ratilal Bhagwandas and Co.* (AIR 1959 SC 689) -  Supports the invalidation of an illegal sub-tenancy agreement.
2. *Delta International Ltd. v. Shyam Sundar Ganeriwalla and Anr.* (AIR 1999 SC 2607) -  Provides principles related to lease vs. license disputes.
3. *Smt. Gangabai v. Smt. Chhabubai* (AIR 1982 SC 20) -  Addresses the admissibility of oral evidence to show a document was not intended to be acted upon."
"IPC sections 302, 330, and 331 were involved.  The case concerned an appeal against acquittal in a custodial torture case. The High Court acquitted the accused due to inconsistencies in witness testimonies and procedural irregularities. The Supreme Court affirmed the acquittal, citing lack of sufficient evidence to convict despite acknowledging concerns about police misconduct and recommending further investigation.","Judgment against petitioner (acquittal affirmed).  Supporting case laws are not explicitly cited in the provided text, but based on the judgment's reasoning and legal principles, these would likely include cases that establish:
1.  The standard of proof beyond reasonable doubt in criminal cases.
2. The need for credible evidence to sustain a conviction.
3. The principle that a judgment of acquittal should not be disturbed lightly unless a manifest error is demonstrated.  Specific case law would require further research based on Indian legal precedent."
"Sections 302 and 34 of the Indian Penal Code, 1860, and Sections 25A and 27 of the Arms Act, 1959, and Section 3 of the Explosive Substances Act, 1908.  The case involved the appeal of an acquittal by the Patna High Court of eight individuals charged with murder and related offences. The Supreme Court found the High Court's reasoning flawed and reversed the acquittal, highlighting misinterpretations of evidence and overlooking crucial witness testimonies.","{'bail_granted_or_not': 'Bail was not granted.  The judgment was in favor of the petitioner (State of Bihar). The accused were convicted.', 'case_law_references': ['Ranbir and Ors. v. State of Punjab (AIR 1973 SC 1409)', 'Bodhraj @Bodha and Ors. v. State of Jammu and Kashmir (2002 (8) SCC 45)', 'Bhagwan Singh and Ors. v. State of Madhya Pradesh (2002 (2) Supreme 567)']}"
"Sections 302 & 34, 324 & 34, 323 of the Indian Penal Code, 1860.  The Madhya Pradesh High Court acquitted respondents accused of murder (Section 302 IPC) despite the trial court's conviction. The Supreme Court reversed the High Court's acquittal, finding the High Court's reasoning flawed and the prosecution's evidence credible, despite minor discrepancies.  The Supreme Court restored the trial court's conviction and sentence.","Judgment against petitioner (respondents/accused).  The Supreme Court reversed the High Court's acquittal and upheld the trial court's conviction. 
Case law references supporting this outcome are not explicitly mentioned, but the judgment cites several past Supreme Court cases which support the principle that minor discrepancies in witness testimony or investigation do not automatically invalidate a conviction if the overall evidence is credible.  These precedents would likely be identified through legal research based on the case references in the original text (e.g., *Balak Ram and Anr. v. State of U.P.*, *Ram Charan and Ors. v. The State of U.P.*, *Chittar Lal v. State of Rajasthan*).  More specific case law would need to be researched based on the specific legal points in the case."
"IPC sections not specified.  The case concerns an appeal against a Patna High Court judgment upholding a detention order under Section 12 of the Bihar Control of Crimes Act, 1981. The appellant argued the detention was unlawful, politically motivated, and based on an expired notification. The court rejected the appeal, emphasizing the limited scope of pre-detention interference and the appellant's dilatory tactics.","{'bail_granted': False, 'judgment': 'against petitioner', 'case_law_references': ['Additional Secretary to the Government of India and Ors. v. Smt. Alka Subhash Gadia and Anr. (1992 Supp (1) SCC 496)', 'Sayed Taher Bawamiya v. Joint Secretary to the Govt. of India and Ors. (2000 (8) SCC 630)', 'Sunil Fulchand Shah v. Union of India and Ors. (2000 (3) SCC 409)']}"
"IPC Sections 147, 148, 201, 307, 323, 326, 341, 342, 397, 302, 149, 120B, and 109 were involved.  The case involved the acquittal of 39 accused persons by the High Court, reversing some convictions from the trial court.  The Supreme Court upheld the High Court's judgment, finding the prosecution's evidence unreliable and inconsistent, lacking credibility and sufficient to prove guilt beyond a reasonable doubt.","Judgment in favor of petitioner (accused). The High Court's judgment of acquittal was upheld. 

Supporting Case Laws:
1. Bhagwan Singh and Ors. v. State of Madhya Pradesh (2002 (2) Supreme 567)
2. Shivaji Sahabrao Bobade and Anr. v. State of Maharashtra (AIR 1973 SC 2622)
3. Ramesh Babulal Doshi v. State of Gujarat (1996 (4) Supreme 167)"
"IPC Sections 302 and 34.  The appellants were initially acquitted by the trial court but convicted by the High Court for murder (Section 302 IPC) along with another individual,  based on eyewitness testimony despite claims of improvements in witness statements and the improbability of their participation. The High Court found the evidence sufficient to establish common intention (Section 34 IPC).","{'bail_granted': 'Not applicable', 'judgment': 'Judgment against petitioner', 'case_law_references': ['Ramaswami Ayyanagar and Ors. v. State of Tamil Nadu (AIR 1976 SC 2027)', 'Krishna Govind Patil v. State of Maharashtra (AIR 1963 SC 1413)', 'Amrit Singh and Ors. v. State of Punjab (1972 Crl.L.J. 465 (SC))']}"
"IPC Sections 302/34, 324/34, 323.  The Madhya Pradesh High Court acquitted respondents charged with murder (Section 302 IPC) and other offences, overturning a trial court conviction. The Supreme Court reversed the acquittal, finding the High Court's reasoning flawed and the prosecution's evidence credible despite minor discrepancies.  The Supreme Court reinstated the trial court's conviction and sentences.","Judgment against petitioner (respondents acquitted).  Case law supporting this is not explicitly cited in the provided text; however, the Supreme Court explicitly overturns the High Court's decision based on established legal principles regarding the admissibility of evidence from injured witnesses and the application of Section 34 IPC.  Further research would be needed to provide specific case law references."
"IPC Sections 409 and 34: This case involves an appeal against the acquittal of two accused under Section 409 (criminal breach of trust by a public servant, banker, merchant, or agent) read with Section 34 (acts done by several persons in furtherance of common intention) of the Indian Penal Code.  The appellant alleged that Rs. 1,50,200 was entrusted to the accused, but went missing from the bank. The courts below acquitted the accused due to insufficient evidence of entrustment and dishonest misappropriation.","{'bail_granted_or_not': 'Not applicable. The appeal was dismissed.  Judgment was against the petitioner.', 'case_law_references': ['Not available', 'Not available', 'Not available']}"
"IPC Sections 148, 304 Part I, and 149.  Five respondents were acquitted by the High Court for the death of Jaba Dhibar due to insufficient evidence linking them to the assault. The Supreme Court reversed the acquittal, finding the High Court's judgment based on conjecture rather than evidence analysis. The Court held the evidence sufficient to establish an unlawful assembly and that the accused's actions were in prosecution of the common object.","Judgment in favor of petitioner (State of West Bengal). The Supreme Court overturned the High Court's acquittal. 
Case law references supporting this outcome are not explicitly cited in this case text, but here are three examples of relevant legal principles that could be used to support this decision:
1. *Bhagwan Singh and Ors. v. State of Madhya Pradesh* (2002 (2) Supreme 567):  Addresses appellate court review of acquittal judgments. 
2. *Shivaji Sahabrao Bobade and Anr. v. State of Maharashtra* (AIR 1973 SC 2622): Concerns compelling reasons for appellate court interference in acquittal cases.
3. *Masalti and Ors. v. State of U.P.* (AIR 1965 SC 202): Discusses the application of Section 149 IPC in cases involving multiple assailants where specific roles are difficult to assign."
"Sections 302 and 326 of the Indian Penal Code, 1860 were involved.  The Andhra Pradesh High Court altered the conviction from Section 302 (murder) to Section 326 (causing grievous hurt) for two accused who had inflicted numerous injuries on the victim during a planned attack. The Supreme Court reversed the High Court's decision, restoring the Section 302 conviction due to the clear evidence of a common intention to commit murder and the severity of the injuries inflicted.","Judgment in favor of petitioner (State of Andhra Pradesh). The Supreme Court restored the trial court's conviction under Section 302 IPC.  
Case law references supporting the outcome are:
1. Willie (William) Slaney v. State of Madhya Pradesh (AIR 1956 SC 116)
2. Dhanna etc. vs. State of Madhya Pradesh (AIR 1996 SC 2478)
3.  Not available (Additional case law reference not explicitly mentioned but implied by the judgement's reasoning.)"
"IPC Sections 405 and 409.  The appellant, a court property clerk, was convicted of misappropriating court properties. The High Court upheld the conviction, rejecting the appellant's claim that the evidence was insufficient to prove entrustment and dishonest intent. The court found the appellant's explanation implausible and considered the evidence sufficient to establish guilt.","Bail was not granted; Judgment against petitioner. 
Case law references supporting the outcome:
1. Jaikrishnadas Manohardas Desai and Anr. v. State of Bombay, AIR (1960) SC 889
2. Rabindra Kumar Dey v. State of Orissa, AIR (1977) SC 170
3.  Not available (A third case supporting the outcome is not explicitly mentioned in the provided text.)"
"IPC Sections 302, 34, and 120-B.  Three appellants were convicted for murder (Section 302, IPC) with varying sentences.  The Supreme Court upheld the conviction of Dharambir for murder but acquitted Karambir due to insufficient evidence linking him to the crime under Section 34 IPC. The death sentence for Dharambir and Joginder was commuted to life imprisonment.","Judgment against petitioner (Karambir) and in favor of petitioner (Dharambir).  The death sentence was commuted to life imprisonment.  Specific case law references supporting this outcome are not explicitly cited in the provided text.  To find supporting case law, one would need to research Indian Supreme Court precedents on Section 34 of the IPC, commutation of death sentences, and standards for upholding murder convictions.  Not available"
"IPC Section 302 (murder) and Section 27 of the Indian Arms Act, 1959.  The Rajasthan High Court acquitted Raja Ram of murder charges, overturning a death sentence by the trial court. The High Court deemed the circumstantial evidence, including extra-judicial confessions, insufficient to prove guilt beyond a reasonable doubt.","{'bail_granted': 'Not applicable. Judgment in favor of petitioner (Raja Ram).', 'case_law_references': ['Bhagwan Singh and Ors. v. State of Madhya Pradesh (JT 2002 (3) SC 387)', 'Shivaji Sahabrao Bobade and Anr. v. State of Maharashtra (1973 (3) SCC 193)', 'Ramesh Babulal Doshi v. State of Gujarat (1996 (9) SCC 225)']}"
"Sections 7 and 13(1)(d) of the Prevention of Corruption Act, 1988, and Section 433 of the Code of Criminal Procedure, 1973.  The High Court commuted the respondent's prison sentence to a fine, based on the length of the trial and respondent's impending retirement. The Supreme Court held that the High Court lacked the power to commute sentences; this power rests solely with the executive.","Bail was not granted; judgment against petitioner.  Supporting case law:
1. *Delhi Administration (Now NCT of Delhi) vs. Madan Lal* (2002 (6) Supreme 77)
2. *State of Punjab v. Kesar Singh* (1996 (5) SCC 495)
3.  Not available (Further case law not explicitly mentioned but implied by the judgment's reliance on the principle that commutation is an executive power.)"
"Sections 302, 307, and 34 of the Indian Penal Code, 1860.  The High Court acquitted Karnail Singh and Nirmal Singh of murder and attempted murder charges, overturning a trial court conviction. The Supreme Court reversed the acquittal, finding the High Court's reasoning flawed and the prosecution evidence credible despite some delays in reporting due to a terrorist-affected area.  The Supreme Court restored the trial court's judgment.","Bail was not granted; Judgment in favor of petitioner (State of Punjab).  Case law references supporting this outcome:

1. *Bhagwan Singh and Ors. v. State of Madhya Pradesh* (JT 2002 (3) SC 387) -  Addresses appellate court review of acquittal evidence.
2. *Shivaji Sahabrao Bobade and Anr. v. State of Maharashtra* (1973 (2) SCC 193) -  Highlights compelling reasons for appellate interference in acquittal cases.
3. *Dalip Singh and Ors. v. The State of Punjab* (AIR 1953 SC 364) - Addresses the admissibility of evidence from close relatives."
"Sections 409 and 34 of the Indian Penal Code, 1860, were invoked.  The case involved the alleged theft of Rs. 1,50,200 from a bank.  The petitioner claimed entrustment to bank employees, while the court found insufficient evidence to prove criminal breach of trust under Section 409, highlighting the lack of proof regarding dishonest misappropriation.","{'bail_granted_or_judgment': 'Appeal dismissed; judgment against petitioner.', 'case_law_references': ['Not available', 'Not available', 'Not available']}"
"IPC Section 133, Water (Prevention and Control of Pollution) Act, 1974, and Air (Prevention and Control of Pollution) Act, 1981. The Supreme Court held that the Water and Air Acts didn't impliedly repeal Section 133 of the Code of Criminal Procedure, 1973.  The Court found that these statutes operate in different fields, even with some overlap, and can coexist. The High Court's view that Section 133 was impliedly repealed regarding air and water pollution was overturned.","{'judgment': ""Judgment against the petitioner (High Court's decision overturned)."", 'case_laws': ['Municipal Council, Palai through the Commissioner of Municipal Council, Palai v. T.J. Joseph (AIR 1963 SC 1561)', 'Northern India Caterers (Private) Ltd. and Anr. v. State of Punjab and Anr. (AIR 1967 SC 1581)', 'Municipal Corporation of Delhi v. Shiv Shanker (1971 (1) SCC 442)']}"
"This case involves a writ petition under Article 32 of the Indian Constitution challenging the non-execution of a death sentence.  The petitioner, lacking locus standi, argued that the delay violated Article 21. The court dismissed the petition, finding the petitioner's claim lacked merit and constituted an abuse of public interest litigation.","Bail was not granted; the petition was dismissed.  Case law supporting this outcome includes:

1. *Janata Dal v. H.S. Choudhary*, (1992 (4) SCC 305):  This case emphasizes the need for genuine public interest in PILs and rejects petitions used for personal agendas.
2. *Simranjit Singh Mann v. Union of India*, (AIR 1993 SC 280): This case highlights the lack of locus standi for third parties to challenge convictions.
3. *Subhash Kumar v. State of Bihar*, (1991 (1) SCC 598): This case clarifies that PILs cannot be used to pursue personal grudges or enmity."
"Sections 45 and 73 of the Indian Evidence Act, 1872, deal with expert opinions and signature comparison.  Lalit Popli, a Canara Bank clerk, was dismissed for alleged unauthorized withdrawals and forgery. The High Court initially overturned the dismissal, but the Division Bench reinstated it. The Supreme Court upheld the Division Bench's decision, finding that the disciplinary authority's conclusions were based on sufficient evidence and that the High Court's intervention was inappropriate under Article 226.","Judgment against petitioner. 
Case law supporting the outcome:
1. Murari Lal vs. State of Madhya Pradesh (1980) 1 SCC 704
2. State of Rajasthan v. B.K. Meena and Ors. (1996) 6 SCC 417
3. B.C. Chaturvedi v. Union of India and Ors. (1995 (6) SCC 749)"
"Sections of the Indian Penal Code (IPC) are not specified in the case text.  The case concerns disciplinary proceedings against a bank employee, P.C. Kakkar, for misconduct.  The Allahabad High Court reduced the punishment of dismissal to a salary reduction and warning, citing a principle of non-discrimination in punishment. The Supreme Court reversed the High Court's decision, holding that the High Court's interference with the quantum of punishment was excessive and limited the scope of judicial review in such matters.","Judgment against petitioner. The Supreme Court reversed the Allahabad High Court's decision reducing the punishment.  The following cases support the outcome:

1. *Sangram Singh v. State of Punjab* (1983 (4) SCC 225): This case establishes the principle of non-discrimination in punishment, but the Supreme Court in this case qualified its application.
2. *B.C. Chaturvedi v. Union of India & Ors.* (1995 [6] SCC 749): This case reinforces the limited scope of judicial review in interfering with the quantum of punishment in disciplinary proceedings. 
3. *Union of India & Anr. v. G. Ganayutham* (1997 [7] SCC 463): This case further clarifies the principles of judicial review and proportionality in administrative actions, particularly concerning punishment, supporting the Supreme Court's decision to reinstate the original punishment."
